,vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
3231,32,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",3,12,29,25752072,False,-20,Rất cao,Dài hạn
3232,33,ILLIT,Magnetic,11,11,5,25507191,False,-22,Rất cao,Trung hạn
3233,34,SZA,Saturn,17,17,9,25025400,False,-17,Rất cao,Trung hạn
3234,35,Taylor Swift,The Albatross,35,-1,1,24571305,True,-36,Rất cao,Ngắn hạn
3235,36,Taylor Swift,The Prophecy,36,-1,1,24507979,True,-37,Rất cao,Ngắn hạn
3236,37,Taylor Swift,Cruel Summer,2,13,64,24457532,False,-24,Rất cao,Dài hạn
3237,38,Lay Bankz,Tell Ur Girlfriend,38,44,2,23795012,False,6,Rất cao,Ngắn hạn
3238,39,Taylor Swift,How Did It End?,39,-1,1,23344804,True,-40,Rất cao,Ngắn hạn
3239,40,Taylor Swift,Chloe or Sam or Sophia or Marcus,40,-1,1,22773243,True,-41,Rất cao,Ngắn hạn
3240,41,Taylor Swift,I Hate It Here,41,-1,1,22419560,True,-42,Rất cao,Ngắn hạn
3241,42,"Jaxomy, Agatino Romero, Raffaella Carrà",Pedro,36,36,2,22181313,False,-6,Rất cao,Ngắn hạn
3242,43,Noah Kahan,Stick Season,6,14,29,21229247,False,-29,Rất cao,Dài hạn
3243,44,Shaboozey,A Bar Song (Tipsy),44,165,2,21021716,False,121,Rất cao,Ngắn hạn
