vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
66,Creepy Nuts,Bling-Bang-Bang-Born,57,72,10,12619637,False,6,Cao,Trung hạn
67,Lewis Capaldi,Someone You Loved,4,80,271,12538647,False,13,Cao,Dài hạn
68,The Weeknd,Die For You,12,71,110,12415961,False,3,Cao,Dài hạn
69,Ariana Grande,don't wanna break up again,20,20,2,12360507,False,-49,Cao,Ngắn hạn
70,"David Guetta, Bebe Rexha",I'm Good (Blue),2,83,82,12159957,False,13,Cao,Dài hạn
71,Manuel Turizo,La Bachata,4,85,90,12124807,False,14,Cao,Dài hạn
72,Good Neighbours,Home,68,78,7,12101225,False,6,Cao,Trung hạn
73,Doja Cat,Agora Hills,16,74,26,11941263,False,1,Cao,Dài hạn
74,Tom Odell,Another Love,15,82,154,11913591,False,8,Cao,Dài hạn
75,"Drake, Wizkid, Kyla",One Dance,12,91,186,11879284,False,16,Cao,Dài hạn
76,Taylor Swift,Anti-Hero,1,76,74,11861789,False,0,Cao,Dài hạn
